id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7305606664,morgantown,41590,2020,mercedes-benz,glc 300 sport,good,,gas,4760,clean,other,WDC0G8DB0LF705544,rwd,,SUV,white,wv
7305604993,morgantown,5500,2010,ford,flex,,,other,127260,salvage,automatic,2FMHK6DT1ABB21863,4wd,,SUV,,wv
7305551496,morgantown,46990,2019,infiniti,qx80 luxe sport utility,good,8 cylinders,gas,19690,clean,other,JN8AZ2NE0K9232627,4wd,,SUV,,wv
7305208878,morgantown,23990,2013,lexus,gs 350 sedan 4d,good,6 cylinders,gas,39664,clean,other,JTHBE1BLXD5015751,rwd,,sedan,brown,wv
7305165525,morgantown,52590,2019,bmw,x5 xdrive40i sport utility,good,,other,18933,clean,other,5UXCR6C51KLL26242,,,other,white,wv
7305165483,morgantown,17990,2018,buick,encore preferred sport,good,,gas,31700,clean,other,KL4CJASB7JB561228,fwd,,SUV,white,wv
7305134525,morgantown,6900,2015,honda,civic,,4 cylinders,gas,11000,salvage,automatic,2HGFG3B5XFH528702,fwd,,coupe,red,wv
7305121968,morgantown,23990,2015,lexus,is 250 crafted line sedan,good,6 cylinders,gas,53388,clean,other,JTHCF1D24F5028598,,,sedan,white,wv
7305085219,morgantown,22590,2015,lexus,nx 200t f sport suv 4d,good,,gas,61446,clean,automatic,JTJYARBZ3F2004084,fwd,,hatchback,red,wv
7304854424,morgantown,7950,1966,,AMC ambassador,,,gas,76000,clean,automatic,,,,,,wv
7304743913,morgantown,34990,2018,bmw,x3 xdrive30i sport utility,good,,gas,30791,clean,other,5UXTR9C56JLD61541,,,SUV,black,wv
7304710594,morgantown,33990,2017,dodge,challenger r/t shaker,good,8 cylinders,gas,11087,clean,other,2C3CDZBT9HH627238,rwd,,coupe,red,wv
7304661772,morgantown,20990,2020,toyota,corolla le sedan 4d,good,,gas,4905,clean,other,JTDEPRAE6LJ072982,fwd,,sedan,white,wv
7304661775,morgantown,39990,2019,ford,mustang gt premium coupe 2d,good,,other,3629,clean,other,1FA6P8CF6K5131949,rwd,,coupe,red,wv
7304654027,morgantown,7500,2008,ford,super duty f-250 srw,,8 cylinders,diesel,68766,salvage,automatic,1FTSX21R58EB60256,4wd,,truck,white,wv
7304597668,morgantown,35590,2013,chevrolet,corvette coupe 2d,good,,other,24471,clean,other,1G1YG2DW3D5106887,rwd,,coupe,yellow,wv
7304258361,morgantown,12000,2011,bmw,550i m sport,excellent,8 cylinders,gas,85600,clean,automatic,,rwd,full-size,sedan,grey,wv
7304223470,morgantown,27590,2018,bmw,3 series 330i xdrive sedan,good,,other,20845,clean,other,WBA8D9G52JNU68732,,,sedan,blue,wv
7304203759,morgantown,21990,2013,toyota,tacoma access cab,good,,other,77018,clean,other,5TFTU4GN8DX030371,,,pickup,red,wv
7304165070,morgantown,24990,2018,bmw,3 series 330i xdrive sedan,good,,gas,34454,clean,automatic,WBA8D9G5XJNU68848,,,sedan,black,wv
7304140955,morgantown,5995,2009,cadillac,cts,,6 cylinders,gas,135000,salvage,other,1G6DG577090139655,4wd,,sedan,white,wv
7304111975,morgantown,31590,2017,bmw,3 series 340i xdrive sedan,good,,gas,20652,clean,automatic,WBA8B7C37HK858834,,,sedan,blue,wv
7304078508,morgantown,25990,2016,toyota,tacoma access cab sr5,good,,other,79393,clean,other,5TFSX5EN4GX044784,,,pickup,silver,wv
7303949932,morgantown,9975,2011,acura,tl,,6 cylinders,gas,130342,clean,automatic,19UUA9F20BA002521,4wd,,sedan,silver,wv
7303885964,morgantown,20995,2014,buick,enclave,excellent,6 cylinders,gas,46244,clean,automatic,5GAKVCKD2EJ205284,4wd,full-size,SUV,red,wv
7303861525,morgantown,0,2015,ford,e450 bus,,,gas,50000,clean,automatic,,,,,,wv
7303833428,morgantown,15995,2016,toyota,sienna,,6 cylinders,gas,125776,clean,automatic,5TDZK3DC3GS695265,fwd,,other,white,wv
7303829538,morgantown,28995,2008,gmc,sierra 2500 hd crew cab,,8 cylinders,diesel,183141,clean,automatic,1GTHK23638F194699,4wd,,pickup,black,wv
7303755929,morgantown,700,2008,dodge,caravan,fair,3 cylinders,gas,252243,clean,automatic,,,mid-size,van,brown,wv
7303714892,morgantown,17990,2009,pontiac,solstice convertible 2d,good,,other,46210,clean,other,1G2MB35B09Y100142,rwd,,convertible,,wv
7303714755,morgantown,26990,2017,infiniti,qx60 3.5 sport utility,good,6 cylinders,gas,40529,clean,automatic,5N1DL0MM6HC557149,,,SUV,,wv
7303714638,morgantown,40590,2017,mercedes-benz,e-class e 400,good,6 cylinders,gas,58451,clean,other,WDDZH6GB7HA163881,,,wagon,black,wv
7303604148,morgantown,3000,1978,lincoln,continental mark v,,8 cylinders,gas,74402,clean,automatic,,,,,green,wv
7303600577,morgantown,21990,2018,nissan,maxima s sedan 4d,good,6 cylinders,gas,35527,clean,automatic,1N4AA6AP6JC372139,fwd,,sedan,blue,wv
7303562415,morgantown,29990,2020,toyota,rav4 adventure sport,good,,gas,29901,clean,other,2T3J1RFV0LC078448,,,SUV,black,wv
7303491518,morgantown,16750,2017,volkswagen,passat sel,like new,4 cylinders,gas,49000,clean,automatic,,fwd,,sedan,black,wv
7303177288,morgantown,31990,2017,lexus,rx 350 sport utility 4d,good,6 cylinders,other,30924,clean,other,2T2ZZMCAXHC090649,fwd,,SUV,,wv
7303150755,morgantown,34990,2018,lexus,rx 350 sport utility 4d,good,6 cylinders,gas,21959,clean,other,2T2ZZMCAXJC097770,fwd,,SUV,silver,wv
7303117791,morgantown,39990,2019,ram,1500 crew cab laramie pickup,good,8 cylinders,gas,53392,clean,other,1C6SRFRT8KN680340,4wd,,pickup,green,wv
7303096406,morgantown,7999,2013,cadillac,ats sedan,,,other,86495,salvage,other,1G6AH5RX9D0138476,4wd,,sedan,,wv
7303082215,morgantown,5100,1983,ford,f250,good,8 cylinders,gas,135000,clean,manual,,rwd,full-size,truck,,wv
7303076307,morgantown,39590,2019,ram,1500 crew cab laramie pickup,good,8 cylinders,gas,55804,clean,other,1C6SRFRT5KN735634,4wd,,pickup,brown,wv
7303034187,morgantown,31590,2017,lexus,rx 350 sport utility 4d,good,6 cylinders,gas,22288,clean,other,2T2ZZMCA5HC070812,fwd,,SUV,blue,wv
7302733497,morgantown,12000,2018,volkswagen,jetta,excellent,4 cylinders,gas,70000,clean,manual,,fwd,full-size,sedan,white,wv
7302668561,morgantown,28990,2017,rover,discovery sport hse,good,,gas,32396,clean,other,SALCR2BG7HH720166,4wd,,SUV,black,wv
7302642357,morgantown,29990,2019,bmw,4 series 430i gran coupe,good,,gas,21635,clean,other,WBA4J1C55KBM18778,rwd,,coupe,,wv
7302609526,morgantown,32990,2019,lincoln,nautilus sport utility,good,,gas,10521,clean,other,2LMPJ6J93KBL13766,fwd,,SUV,white,wv
7302574876,morgantown,5995,2018,chevrolet,malibu,,,other,3555,salvage,other,1G1ZB5ST5JF220781,fwd,,sedan,,wv
7302572910,morgantown,33590,2020,acura,tlx 3.5 w/technology pkg,good,6 cylinders,gas,10478,clean,other,19UUB3F42LA001528,,,sedan,,wv
7302519998,morgantown,18590,2012,bmw,5 series 535i xdrive sedan,good,,other,62399,clean,automatic,WBAFU7C52CDU62942,,,sedan,black,wv
7302518947,morgantown,15000,2005,subaru,wrx,good,4 cylinders,gas,111000,clean,manual,,4wd,,sedan,blue,wv
7302416522,morgantown,5500,2005,honda,element,good,4 cylinders,gas,162000,clean,automatic,,4wd,,SUV,green,wv
7302291425,morgantown,38995,2016,ford,super duty f-250,,8 cylinders,diesel,106456,clean,automatic,1FT7W2BT5GEA34349,4wd,,truck,blue,wv
7302291008,morgantown,23000,2014,gmc,sierra 1500,,8 cylinders,gas,130824,clean,automatic,1GTV2UECXEZ131143,4wd,,truck,blue,wv
7302251864,morgantown,0,2015,ford,e450 bus,,,gas,50000,clean,automatic,,,,,,wv
7302203328,morgantown,7950,1974,chevrolet,custom 10,,,gas,110000,clean,manual,,,,,,wv
7302150668,morgantown,35590,2020,infiniti,q50 3.0t luxe sedan 4d,good,6 cylinders,gas,19385,clean,other,JN1EV7AR2LM251793,,,sedan,blue,wv
7302081948,morgantown,34990,2020,cadillac,xt4 sport suv 4d,good,,gas,10015,clean,other,1GYFZFR4XLF096983,,,hatchback,black,wv
7302055694,morgantown,25990,2017,jaguar,xf 35t premium sedan 4d,good,,other,29170,clean,other,SAJBD4BV2HCY34375,,,sedan,blue,wv
7302043319,morgantown,28990,2017,alfa-romeo,romeo giulia ti sedan 4d,good,,other,18859,clean,other,ZARFAEENXH7533510,,,sedan,black,wv
7302043308,morgantown,35590,2020,cadillac,xt4 sport suv 4d,good,,other,5261,clean,other,1GYFZFR47LF122858,,,hatchback,white,wv
7302041786,morgantown,8500,2019,buick,encore,,,other,14393,salvage,automatic,KL4CJESB8KB702879,4wd,,SUV,,wv
7301707131,morgantown,33590,2018,mercedes-benz,glc 300 sport,good,,other,14010,clean,automatic,WDC0G4JB6JV106096,rwd,,SUV,white,wv
7301693209,morgantown,2800,2006,volkswagen,beetle,fair,4 cylinders,gas,131000,clean,automatic,,fwd,compact,coupe,grey,wv
7301677687,morgantown,42590,2017,infiniti,qx80 sport utility 4d,good,8 cylinders,gas,20259,clean,automatic,JN8AZ2NCXH9432146,4wd,,SUV,silver,wv
7301657954,morgantown,42590,2020,lexus,es 300h sedan 4d,good,,other,1385,clean,other,58AD21B17LU010209,fwd,,sedan,silver,wv
7301644910,morgantown,7995,2015,chevrolet,traverse,,6 cylinders,gas,103862,salvage,other,1GNKVFED7FJ379792,4wd,,SUV,grey,wv
7301636823,morgantown,22990,2017,infiniti,qx50 sport utility 4d,good,6 cylinders,gas,32837,clean,automatic,JN1BJ0RRXHM412814,,,hatchback,white,wv
7301609119,morgantown,34590,2019,,Genesis G70 2.0T Advanced Sedan,good,,gas,7453,clean,other,KMTG34LA6KU015228,rwd,,sedan,,wv
7316366212,southern WV,45990,2014,ram,2500,,,diesel,87320,clean,automatic,,4wd,,,,wv
7316096534,southern WV,0,2014,bmw,6 series,,8 cylinders,gas,66143,clean,automatic,,rwd,sub-compact,sedan,black,wv
7315914508,southern WV,0,2017,ram,pickup 2500,,6 cylinders,diesel,129488,clean,automatic,,4wd,full-size,truck,silver,wv
7315787367,southern WV,20500,2006,gmc,sierra 2500hd,excellent,8 cylinders,diesel,148000,rebuilt,automatic,,4wd,,,white,wv
7315028088,southern WV,13000,2005,ford,mustang gt,like new,8 cylinders,gas,30000,clean,automatic,1ZVFT85H455241453,rwd,mid-size,convertible,green,wv
7314709440,southern WV,0,2016,jeep,wrangler unlimited,,6 cylinders,gas,83203,clean,automatic,,4wd,mid-size,SUV,grey,wv
7314535879,southern WV,0,2015,mercedes-benz,m-class,,6 cylinders,gas,89868,clean,automatic,,rwd,mid-size,SUV,silver,wv
7314534660,southern WV,0,2013,bmw,x5,,6 cylinders,gas,97195,clean,automatic,,4wd,mid-size,SUV,silver,wv
7314294160,southern WV,48900,2018,chevrolet,silverado 2500 hd ltz,like new,8 cylinders,diesel,43034,rebuilt,automatic,1GC1KWEYXJF108821,4wd,full-size,truck,black,wv
7313855043,southern WV,14700,2015,honda,cr-v ex-l,excellent,4 cylinders,gas,70672,salvage,automatic,2HKRM4H77FH677160,4wd,compact,SUV,brown,wv
7313757975,southern WV,3700,2003,toyota,tundra,fair,8 cylinders,gas,300000,clean,automatic,,4wd,full-size,pickup,white,wv
7313663831,southern WV,45300,2018,ram,3500 big horn,excellent,6 cylinders,diesel,34125,rebuilt,automatic,3C63R3LL4JG236634,4wd,full-size,truck,black,wv
7312894485,southern WV,10500,1987,,International,good,6 cylinders,diesel,380000,clean,manual,,rwd,,,white,wv
7312788606,southern WV,18500,2007,porsche,cayman s,excellent,6 cylinders,gas,124000,clean,automatic,,rwd,compact,coupe,grey,wv
7312010567,southern WV,17500,1984,volkswagen,westfalia vanagon,good,4 cylinders,gas,110000,clean,manual,,rwd,full-size,van,orange,wv
7311465565,southern WV,0,2017,lincoln,mkx,,6 cylinders,gas,79449,clean,automatic,2LMPJ6KR9HBL54166,fwd,mid-size,SUV,silver,wv
7310155616,southern WV,5000,1994,gmc,1994 3500hd,good,8 cylinders,diesel,181845,clean,manual,,rwd,,,,wv
7309424965,southern WV,18998,2012,ford,e-350,,8 cylinders,gas,25715,clean,automatic,,rwd,,van,white,wv
7309348681,southern WV,10000,2002,lincoln,town car,excellent,8 cylinders,gas,249000,clean,automatic,,,,,blue,wv
7308729687,southern WV,8500,1987,gmc,c6000,,,gas,123411,clean,manual,,,,,,wv
7307765244,southern WV,12999,2015,jeep,cherokee,excellent,4 cylinders,gas,100679,clean,automatic,1C4PJMCBXFW600045,4wd,,SUV,,wv
7307765124,southern WV,32499,2013,ford,f350,excellent,8 cylinders,diesel,91307,clean,automatic,1FT8W3BT0DEA82752,4wd,,pickup,,wv
7307764992,southern WV,35499,2013,ford,f250,excellent,8 cylinders,diesel,102760,clean,automatic,1FT7W2BT6DEB06851,4wd,,pickup,,wv
7307298860,southern WV,66500,2012,jeep,wrangler unlimited rubicon,,,gas,167000,clean,automatic,,,,,,wv
7307297265,southern WV,22000,1997,jeep,wrangler tj,,,gas,80000,clean,automatic,,,,,,wv
7307124461,southern WV,8500,2005,ford,f-150,excellent,8 cylinders,gas,103000,clean,automatic,,4wd,,,grey,wv
7306106403,southern WV,8000,1976,jeep,,good,6 cylinders,gas,57000,clean,manual,,4wd,,SUV,,wv
7305807143,southern WV,26000,2018,subaru,outback,excellent,4 cylinders,gas,44500,clean,automatic,4S4BSANC3J3282769,4wd,mid-size,SUV,blue,wv
7305767295,southern WV,38615,2021,chevrolet,silverado 1500,,4 cylinders,gas,1,clean,automatic,,4wd,full-size,pickup,black,wv
7305329530,southern WV,6000,2013,nissan,maxima,good,6 cylinders,gas,149709,clean,automatic,,fwd,full-size,sedan,silver,wv
7304116545,southern WV,10000,2010,ford,f250 super duty,good,8 cylinders,gas,185000,clean,manual,,4wd,,truck,,wv
7303979925,southern WV,4000,1962,,Studebaker Lark,good,8 cylinders,gas,45123,clean,manual,,rwd,mid-size,sedan,red,wv
7303586506,southern WV,2500,2003,cadillac,deville,good,8 cylinders,gas,179000,clean,automatic,,fwd,,,white,wv
7303072239,southern WV,10000,1970,volvo,,,,gas,99999,clean,manual,,,,,,wv
7302194328,southern WV,25998,2014,chevrolet,silverado 1500,excellent,8 cylinders,gas,139000,clean,automatic,,4wd,full-size,truck,brown,wv
7317079721,southern WV,19600,2016,chevrolet,silverado 1500,,,gas,79000,clean,automatic,,,,,,wv
7315327733,west virginia (old),9500,2008,toyota,tundra sr5,excellent,8 cylinders,gas,227354,clean,automatic,,rwd,full-size,truck,silver,wv
7314610795,west virginia (old),800,1995,toyota,tacoma,salvage,4 cylinders,gas,245000,clean,automatic,,rwd,compact,pickup,brown,wv
7313820655,west virginia (old),15000,2006,,chysler crossfire,like new,6 cylinders,gas,15300,clean,automatic,,rwd,compact,,red,wv
7313755792,west virginia (old),8700,2003,jeep,wrangler,good,,gas,145000,clean,manual,,,,,,wv
7312243185,west virginia (old),4100,2000,gmc,sierra,fair,8 cylinders,gas,200000,clean,automatic,,4wd,full-size,truck,silver,wv
7304993359,west virginia (old),3900,2007,bmw,328i,fair,6 cylinders,gas,91000,clean,automatic,,rwd,mid-size,sedan,grey,wv
7304110652,west virginia (old),16400,2014,lincoln,mkz,good,6 cylinders,gas,41255,clean,automatic,,4wd,full-size,sedan,,wv
7316901493,west virginia (old),16990,2016,kia,forte koup ex coupe 2d,good,,gas,17631,clean,other,KNAFX6A8XG5647822,fwd,,coupe,,wv
7317088272,appleton-oshkosh-FDL,6000,2008,ram,1500 slt,good,6 cylinders,gas,214000,clean,manual,,rwd,full-size,pickup,white,wi
7317067367,appleton-oshkosh-FDL,13500,1987,chevrolet,,,,gas,61742,clean,automatic,,,,,,wi
7317028427,appleton-oshkosh-FDL,3500,2008,chevrolet,silverado 1500,good,8 cylinders,gas,115000,clean,automatic,,rwd,,,,wi
7317024131,appleton-oshkosh-FDL,22000,2004,chevrolet,2500 hd,excellent,8 cylinders,diesel,156000,clean,automatic,,4wd,full-size,pickup,white,wi
7317018088,appleton-oshkosh-FDL,7000,2003,ford,thunderbird convertible,good,8 cylinders,gas,98000,clean,automatic,,rwd,full-size,convertible,grey,wi
7317012033,appleton-oshkosh-FDL,7000,2004,ford,f-150,good,8 cylinders,gas,115000,clean,automatic,,4wd,full-size,pickup,grey,wi
7316995086,appleton-oshkosh-FDL,33500,2017,ford,mustang gt,excellent,8 cylinders,gas,20500,clean,manual,,rwd,,,grey,wi
7316987135,appleton-oshkosh-FDL,4895,2010,chevrolet,impala lt,,6 cylinders,gas,174332,clean,automatic,,fwd,,sedan,,wi
7316981136,appleton-oshkosh-FDL,19900,2008,chevrolet,silverado 2500hd,,8 cylinders,diesel,244468,clean,automatic,1GCHK236X8F146522,4wd,full-size,pickup,red,wi
7316954247,appleton-oshkosh-FDL,11900,2014,subaru,xv crosstrek 2.0i premium,excellent,,gas,121000,clean,automatic,,4wd,,,,wi
7316946999,appleton-oshkosh-FDL,32590,2015,mercedes-benz,gla-class gla 45,good,,gas,34811,clean,other,WDDTG5CB9FJ051220,,,other,black,wi
7316941706,appleton-oshkosh-FDL,33249,2016,ford,f-150,excellent,,gas,64448,clean,automatic,1FTEW1E84GKE88764,4wd,,pickup,,wi
7316941412,appleton-oshkosh-FDL,24999,2018,toyota,sienna,excellent,,gas,90014,clean,automatic,5TDYZ3DC4JS957695,fwd,,mini-van,,wi
7316941105,appleton-oshkosh-FDL,17499,2013,volkswagen,beetle,excellent,,gas,47523,clean,automatic,3VW7S7AT0DM820279,fwd,,convertible,,wi
7316940863,appleton-oshkosh-FDL,20889,2013,lexus,gs,excellent,,gas,69124,clean,automatic,JTHCE1BL4D5001851,4wd,,sedan,,wi
7316939952,appleton-oshkosh-FDL,7950,2008,toyota,tacoma,,4 cylinders,gas,168400,clean,automatic,5TETX22N08Z560643,rwd,compact,pickup,red,wi
7316932950,appleton-oshkosh-FDL,8995,2007,gmc,sierra 1500,fair,8 cylinders,gas,172000,clean,automatic,,4wd,,,black,wi
7316932640,appleton-oshkosh-FDL,8500,2011,ford,,good,6 cylinders,gas,135750,clean,automatic,,fwd,mid-size,SUV,white,wi
7316930375,appleton-oshkosh-FDL,33590,2014,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,57923,clean,other,3GTP1VEC4EG551563,,,pickup,white,wi
7316915161,appleton-oshkosh-FDL,8990,2016,mitsubishi,outlander sport gt,good,4 cylinders,gas,187840,clean,automatic,,4wd,compact,SUV,grey,wi
7316913658,appleton-oshkosh-FDL,39590,2019,chevrolet,silverado 1500 ld,good,8 cylinders,gas,23488,clean,other,2GCVKPEC2K1203961,4wd,,pickup,black,wi
7316899247,appleton-oshkosh-FDL,13995,2008,toyota,highlander,excellent,,gas,133444,clean,automatic,JTEES42A282107706,4wd,,SUV,grey,wi
7316898976,appleton-oshkosh-FDL,7995,2009,toyota,corolla,excellent,,gas,118941,clean,manual,1NXBU40E79Z064957,fwd,,sedan,blue,wi
7316898686,appleton-oshkosh-FDL,14995,2013,toyota,sienna,excellent,,gas,151918,clean,automatic,5TDYK3DC1DS281246,fwd,,mini-van,white,wi
7316898444,appleton-oshkosh-FDL,14995,2014,ford,fusion,excellent,,gas,38215,clean,automatic,3FA6P0HD6ER298788,fwd,,sedan,,wi
